Prime, Number of Fp Components, Index in Class Group, Attachment Happens?
50423, 3, 5, False
51287, 2, 3, False
51343, 2, 3, False
51383, 2, 3, False
51839, 4, 9, True
52543, 2, 3, False
52631, 3, 7, True
52727, 4, 7, False
53231, 12, 25, True
53639, 2, 3, False
53927, 2, 3, False
54287, 3, 5, False
54319, 2, 3, False
54367, 3, 5, False
54503, 2, 3, False
54559, 2, 3, False
54583, 2, 3, False
54767, 2, 3, False
55127, 2, 3, False
55351, 2, 3, False
55927, 2, 3, False
56359, 3, 5, False
56383, 2, 3, False
56543, 6, 11, False
56767, 2, 3, False
57119, 1, 3, True
57191, 3, 7, True
57383, 2, 3, False
58199, 5, 11, True
58231, 3, 5, False
58271, 3, 7, True
58511, 2, 3, False
58567, 2, 3, False
58711, 4, 7, False
58991, 3, 7, True
59063, 2, 3, False
59207, 2, 3, False
59447, 4, 7, False
59471, 1, 3, True
59999, 2, 5, True
60383, 2, 3, False
60527, 8, 15, False
60919, 2, 3, False
61223, 2, 3, False
61343, 3, 5, False
61463, 3, 5, False
61871, 1, 3, True
62207, 2, 3, False
62327, 2, 3, False
62383, 2, 3, False
62983, 2, 3, False
63079, 2, 3, False
63103, 2, 3, False
63247, 3, 5, False
63311, 3, 7, True
63439, 2, 3, False
63559, 2, 3, False
63719, 3, 7, True
63799, 2, 3, False
64063, 2, 3, False
64439, 1, 3, True
64679, 4, 9, True
64783, 2, 3, False
64879, 3, 5, False
65063, 5, 9, False
65407, 2, 3, False
65063, 5, 9, False
65407, 2, 3, False
65599, 2, 3, False
65831, 2, 5, True
66047, 7, 13, False
66071, 4, 9, True
66863, 2, 3, False
66959, 2, 3, False
67103, 3, 5, False
67271, 5, 11, True
67751, 2, 5, True
68071, 7, 13, False
68351, 7, 15, True
68863, 2, 3, False
68903, 3, 5, False
69191, 2, 5, True
69263, 3, 5, False
69439, 4, 7, False
70223, 4, 7, False
70439, 1, 3, True
70607, 2, 3, False
71119, 3, 5, False
71167, 2, 3, False
71263, 3, 5, False
71359, 4, 7, False
71719, 2, 3, False
71879, 2, 3, False
72223, 3, 5, False
72367, 2, 3, False
72431, 3, 5, False
72551, 3, 5, False
72679, 2, 3, False
72871, 2, 3, False
73127, 2, 3, False
73351, 2, 3, False
73751, 6, 13, True
73847, 2, 3, False
73951, 7, 13, False
74047, 4, 7, False
74687, 3, 5, False
74759, 2, 5, True
74887, 2, 3, False
74903, 9, 17, False
75479, 5, 11, True
75583, 2, 3, False
76159, 2, 3, False
76871, 1, 3, True
76919, 8, 17, True
76943, 3, 5, False
77263, 2, 3, False
77551, 2, 3, False
77647, 2, 3, False
77711, 12, 25, True
77743, 2, 3, False
77783, 3, 5, False
78607, 2, 3, False
79151, 2, 3, False
79159, 2, 3, False
79399, 5, 9, False
80111, 4, 9, True
80167, 3, 5, False
80239, 2, 3, False
80447, 9, 17, False
80567, 2, 3, False
80783, 2, 3, False
81343, 4, 7, False
81463, 2, 3, False
81647, 2, 3, False
81943, 3, 5, False
81967, 2, 3, False
82183, 2, 3, False
82207, 2, 3, False
82223, 3, 5, False
82231, 6, 11, False
82351, 3, 5, False
82463, 4, 7, False
82487, 5, 9, False
82799, 2, 5, True
82847, 4, 7, False
83311, 3, 5, False
83471, 2, 5, True
83591, 10, 21, True
83983, 4, 7, False
84047, 2, 3, False
84223, 2, 3, False
84559, 2, 3, False
84719, 12, 25, True
84871, 3, 5, False
84991, 2, 3, False
85103, 2, 3, False
85199, 1, 3, True
85607, 3, 5, False
85639, 2, 3, False
85703, 7, 13, False
85847, 2, 3, False
86311, 3, 5, False
86423, 2, 3, False
86711, 2, 3, False
86783, 3, 5, False
87583, 2, 3, False
87743, 2, 3, False
87943, 2, 3, False
88223, 5, 9, False
88663, 3, 5, False
88799, 1, 3, True
88919, 3, 5, False
89087, 2, 3, False
89767, 2, 3, False
90007, 3, 5, False
90031, 2, 3, False
90239, 2, 3, False
90527, 3, 5, False
90703, 2, 3, False
91367, 3, 5, False
91631, 1, 3, True
91823, 2, 3, False
91967, 2, 3, False
92311, 3, 5, False
92399, 1, 3, True
92431, 3, 5, False
92639, 11, 23, True
92951, 1, 3, True
93047, 6, 11, False
93263, 2, 3, False
93607, 3, 5, False
93911, 3, 5, False
94463, 5, 9, False
95063, 3, 5, False
95239, 2, 3, False
95959, 2, 3, False
96671, 1, 3, True
96799, 2, 3, False
96823, 4, 7, False
96847, 4, 7, False
97007, 5, 9, False
97127, 5, 9, False
97423, 2, 3, False
97511, 2, 5, True
97583, 11, 21, False
97687, 2, 3, False
97879, 6, 11, False
97943, 2, 3, False
98479, 3, 5, False
98887, 2, 3, False
99079, 2, 3, False
99367, 2, 3, False
99607, 2, 3, False
99719, 2, 3, False
99823, 2, 3, False
99871, 3, 5, False
99991, 3, 5, False
